signal_name,timestamp_ms,value,message_id,message_name,sender,unit,date,start_time
Set_Current_Front_Left_Inverter,355,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Left_Inverter,355,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Front_Right_Inverter,355,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Right_Inverter,356,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Rear_Inverter,356,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Rear_Inverter,356,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
APPS1_Throttle,356,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
APPS2_Throttle,356,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
Front_Brake_Pressure,357,621.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Rear_Brake_Pressure,357,414.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Brake_Pressed,357,0.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Set_Current_Front_Left_Inverter,365,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Left_Inverter,365,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Front_Right_Inverter,365,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Right_Inverter,366,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Rear_Inverter,366,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Rear_Inverter,366,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
APPS1_Throttle,366,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
APPS2_Throttle,366,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
Front_Brake_Pressure,367,621.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Rear_Brake_Pressure,367,413.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Brake_Pressed,367,0.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Set_Current_Front_Left_Inverter,375,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Left_Inverter,375,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Front_Right_Inverter,375,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Right_Inverter,376,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Rear_Inverter,376,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Rear_Inverter,376,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
APPS1_Throttle,376,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
APPS2_Throttle,376,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
Front_Brake_Pressure,377,622.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Rear_Brake_Pressure,377,414.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Brake_Pressed,377,0.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Set_Current_Front_Left_Inverter,385,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Left_Inverter,385,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Front_Right_Inverter,385,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Right_Inverter,386,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Rear_Inverter,386,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Rear_Inverter,386,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,17:22:16.152
APPS1_Throttle,386,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
APPS2_Throttle,386,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,17:22:16.152
Front_Brake_Pressure,387,622.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Rear_Brake_Pressure,387,414.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Brake_Pressed,387,0.0,0x203,ECU_Brake,ECU,,2026-05-10,17:22:16.152
Set_Current_Front_Left_Inverter,395,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Left_Inverter,395,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Front_Right_Inverter,395,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
Set_Current_Brake_Front_Right_Inverter,396,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,17:22:16.152
