signal_name,timestamp_ms,value,message_id,message_name,unit,date,start_time
Strain_Gauge,207,-8388608.0,0x53C,FR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,207,384.0,0x53C,FR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Set_Current,207,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,A,2026-03-12,17:01:19.585
Strain_Gauge,207,-8388608.0,0x53E,FL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,207,0.0,0x53E,FL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Set_Current_Brake,207,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,A,2026-03-12,17:01:19.585
Strain_Gauge,208,-8388608.0,0x53A,BL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,208,3.0,0x53A,BL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Set_Current,208,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,A,2026-03-12,17:01:19.585
Set_Current_Brake,208,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,A,2026-03-12,17:01:19.585
Set_Current,208,0.0,0x200,ECU_Set_Current_Rear_Inverter,A,2026-03-12,17:01:19.585
Set_Current_Brake,209,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,A,2026-03-12,17:01:19.585
APPS1_Throttle,209,195.0,0x202,ECU_Throttle,,2026-03-12,17:01:19.585
APPS2_Throttle,209,3915.0,0x202,ECU_Throttle,,2026-03-12,17:01:19.585
Front_Brake_Pressure,209,1565.0,0x203,ECU_Brake,,2026-03-12,17:01:19.585
Rear_Brake_Pressure,209,9.0,0x203,ECU_Brake,,2026-03-12,17:01:19.585
Brake_Pressed,209,0.0,0x203,ECU_Brake,,2026-03-12,17:01:19.585
Implausibility_Present,210,0.0,0x204,ECU_Implausibility,,2026-03-12,17:01:19.585
APPSs_Disagreement_Imp,210,0.0,0x204,ECU_Implausibility,,2026-03-12,17:01:19.585
BPPC_Imp,210,0.0,0x204,ECU_Implausibility,,2026-03-12,17:01:19.585
Brake_Invalid_Imp,210,0.0,0x204,ECU_Implausibility,,2026-03-12,17:01:19.585
APPSs_Invalid_Imp,210,0.0,0x204,ECU_Implausibility,,2026-03-12,17:01:19.585
BMS_Command,210,0.0,0x205,ECU_BMS_Command_Message,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-12,17:01:19.585
Drive_State,210,0.0,0x206,ECU_Drive_Status,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-12,17:01:19.585
Strain_Gauge,237,-8388608.0,0x53C,FR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,237,385.0,0x53C,FR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Strain_Gauge,237,-8388608.0,0x53E,FL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,237,0.0,0x53E,FL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Strain_Gauge,237,235408.0,0x538,BR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,237,3.0,0x538,BR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Strain_Gauge,238,-8388608.0,0x53A,BL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,238,2.0,0x53A,BL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Strain_Gauge,267,-8388608.0,0x53C,FR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,267,384.0,0x53C,FR_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Strain_Gauge,267,-8388608.0,0x53E,FL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
Sus_Pot,267,2.0,0x53E,FL_Broker_Sus,ADC Values,2026-03-12,17:01:19.585
