signal_name,timestamp_ms,value,message_id,message_name,unit,date,start_time
Max_Discharge_Current,412,0.0,0x150,BMS_SOE,A,2026-02-25,20:58:49.238
Max_Regen_Current,412,0.0,0x150,BMS_SOE,A,2026-02-25,20:58:49.238
Battery_Voltage,412,60.0,0x150,BMS_SOE,V,2026-02-25,20:58:49.238
Battery_Temperature,412,26.0,0x150,BMS_SOE,C,2026-02-25,20:58:49.238
Battery_Current,412,0.0,0x150,BMS_SOE,,2026-02-25,20:58:49.238
InternalFault_Summary,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
External_Fault,413,1.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Undervoltage_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Overvoltage_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Undertemperature_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Overtemperature_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Overcurrent_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Open_Wire_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Open_Wire_Temp_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Pec_Fault,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
Total_PEC_Failures,413,0.0,0x151,BMS_Faults,,2026-02-25,20:58:49.238
BMS_State,413,0.0,0x152,BMS_Status,"State that the BMS is in:
Idle = 0,
Precharge = 1,
Active = 2,
Charge = 3,
Fault = 4",2026-02-25,20:58:49.238
IMD_State,413,1.0,0x152,BMS_Status,State of the IMD. High is Healthy ,2026-02-25,20:58:49.238
Max_Cell_Temp,413,28.0,0x152,BMS_Status,C,2026-02-25,20:58:49.238
Min_Cell_Temp,413,25.0,0x152,BMS_Status,C,2026-02-25,20:58:49.238
Max_Cell_Voltage,413,3.476,0x152,BMS_Status,V,2026-02-25,20:58:49.238
Min_Cell_Voltage,413,3.3440000000000003,0x152,BMS_Status,V,2026-02-25,20:58:49.238
BMS_SOC,413,0.0,0x152,BMS_Status,,2026-02-25,20:58:49.238
Cell_V_0,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_1,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_2,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_3,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_4,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_5,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_6,413,3.464,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_OCV_Offset_0,413,0.0,0x153,BMS_Voltages_0,V,2026-02-25,20:58:49.238
Cell_V_7,413,3.464,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_8,413,3.464,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_9,413,3.464,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_10,413,3.464,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_11,413,3.3440000000000003,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_12,413,3.464,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_13,413,3.464,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_OCV_Offset_1,413,0.0,0x154,BMS_Voltages_1,V,2026-02-25,20:58:49.238
Cell_V_14,414,3.464,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_15,414,3.476,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_16,414,3.464,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_17,414,3.464,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_18,414,3.464,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_19,414,3.464,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_20,414,3.464,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_OCV_Offset_2,414,0.0,0x155,BMS_Voltages_2,V,2026-02-25,20:58:49.238
Cell_V_21,414,3.464,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_22,414,3.464,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_23,414,2.0,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_24,414,2.0,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_25,414,2.0,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_26,414,2.0,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_27,414,2.0,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_OCV_Offset_3,414,0.0,0x156,BMS_Voltages_3,V,2026-02-25,20:58:49.238
Cell_V_28,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_V_29,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_V_30,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_V_31,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_V_32,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_V_33,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_V_34,414,2.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_OCV_Offset_4,414,0.0,0x157,BMS_Voltages_4,V,2026-02-25,20:58:49.238
Cell_T_0,414,26.0,0x167,BMS_Temperatures_0,C,2026-02-25,20:58:49.238
Cell_T_1,414,27.0,0x167,BMS_Temperatures_0,C,2026-02-25,20:58:49.238
Cell_T_2,414,28.0,0x167,BMS_Temperatures_0,C,2026-02-25,20:58:49.238
Cell_T_3,414,28.0,0x167,BMS_Temperatures_0,C,2026-02-25,20:58:49.238
Cell_T_4,414,27.0,0x167,BMS_Temperatures_0,C,2026-02-25,20:58:49.238
