signal_name,timestamp_ms,value,message_id,message_name,unit,date,start_time
Strain_Gauge,298,-408817.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,298,364.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,398,-412494.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,398,365.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,499,-414820.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,499,364.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,600,-416622.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,600,365.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,701,-415329.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,701,363.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Gen_Amps,781,20.080000000000002,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Front_Fan_Amps,781,0.01,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Rear_Fan_Amps,781,-0.01,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Front_Pump_Amps,781,-0.05,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Rear_Pump_Amps,781,-0.08,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Strain_Gauge,802,-416174.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,802,365.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,903,-416103.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,903,364.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Tire_Temp_0,1001,28.36,0x530,BR_Broker_Temp1,Celcius,2026-02-14,14:26:30.480
Tire_Temp_1,1001,28.13,0x530,BR_Broker_Temp1,Celcius,2026-02-14,14:26:30.480
Tire_Temp_2,1001,27.73,0x530,BR_Broker_Temp1,Celcius,2026-02-14,14:26:30.480
Tire_Temp_3,1001,27.29,0x530,BR_Broker_Temp1,Celcius,2026-02-14,14:26:30.480
Tire_Temp_4,1001,26.92,0x531,BR_Broker_Temp2,Celcius,2026-02-14,14:26:30.480
Tire_Temp_5,1001,26.91,0x531,BR_Broker_Temp2,Celcius,2026-02-14,14:26:30.480
Tire_Temp_6,1001,26.79,0x531,BR_Broker_Temp2,Celcius,2026-02-14,14:26:30.480
Tire_Temp_7,1001,26.26,0x531,BR_Broker_Temp2,Celcius,2026-02-14,14:26:30.480
Strain_Gauge,1004,-416165.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,1004,364.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,1104,-416712.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,1104,362.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Strain_Gauge,1205,-416751.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,1205,363.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Gen_Amps,1288,20.080000000000002,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Front_Fan_Amps,1288,0.01,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Rear_Fan_Amps,1288,-0.01,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Front_Pump_Amps,1288,-0.05,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Rear_Pump_Amps,1288,-0.08,0x2A1,PDM_Current,A,2026-02-14,14:26:30.480
Strain_Gauge,1306,-416965.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
Sus_Pot,1306,363.0,0x538,BR_Broker_Sus,ADC Values,2026-02-14,14:26:30.480
