signal_name,timestamp_ms,value,message_id,message_name,unit
Strain_Gauge,197,-426103.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,197,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,297,-427923.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,297,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,398,-428243.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,398,370.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,499,-428187.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,499,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,600,-427862.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,600,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,701,-428582.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,701,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,802,-428377.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,802,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,902,-428280.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,902,372.0,0x538,BR_Broker_Sus,ADC Values
Tire_Temp_0,1000,25.6,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_1,1000,25.54,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_2,1000,25.8,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_3,1000,25.36,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_4,1001,25.580000000000002,0x531,BR_Broker_Temp2,Celcius
Tire_Temp_5,1001,26.17,0x531,BR_Broker_Temp2,Celcius
Tire_Temp_6,1001,25.97,0x531,BR_Broker_Temp2,Celcius
Tire_Temp_7,1001,25.73,0x531,BR_Broker_Temp2,Celcius
Strain_Gauge,1003,-429257.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1003,374.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1104,-428380.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1104,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1205,-428221.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1205,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1306,-427288.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1306,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1407,-428024.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1407,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1508,-428675.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1508,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1608,-428047.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1608,375.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1709,-427118.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1709,374.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1810,-427481.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1810,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,1911,-427982.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,1911,370.0,0x538,BR_Broker_Sus,ADC Values
Tire_Temp_0,2000,25.63,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_1,2000,26.03,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_2,2000,25.6,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_3,2000,25.580000000000002,0x530,BR_Broker_Temp1,Celcius
Tire_Temp_4,2000,25.85,0x531,BR_Broker_Temp2,Celcius
Tire_Temp_5,2000,26.2,0x531,BR_Broker_Temp2,Celcius
Tire_Temp_6,2000,26.14,0x531,BR_Broker_Temp2,Celcius
Tire_Temp_7,2000,25.79,0x531,BR_Broker_Temp2,Celcius
Strain_Gauge,2012,-426932.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,2012,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,2112,-428044.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,2112,370.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,2213,-427296.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,2213,372.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,2314,-425603.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,2314,371.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,2415,-426883.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,2415,373.0,0x538,BR_Broker_Sus,ADC Values
Strain_Gauge,2516,-427032.0,0x538,BR_Broker_Sus,ADC Values
Sus_Pot,2516,372.0,0x538,BR_Broker_Sus,ADC Values
